diff_id,language,anchor,synonym,disjoint,kind,bleu_syn,bleu_dis,bleu_delta,rougeL_syn,rougeL_dis,rougeL_delta,chrf_syn,chrf_dis,chrf_delta,meteor_syn,meteor_dis,meteor_delta,bertscore_syn,bertscore_dis,bertscore_delta,entail_syn,entail_dis,entail_delta,signed_syn,signed_dis,signed_delta
12541,cpp,classes,types,modules,close_entity,0.8003203203845001,0.8003203203845001,0.0,0.9,0.9,0.0,0.8866643023339775,0.8836052339250052,0.0030590684089722986,0.9319727891156462,0.9319727891156462,0.0,0.9942537546157837,0.9919178485870361,0.0023359060287475586,0.9089152812957764,0.01491924561560154,0.8939960356801748,0.8838404305279255,-0.8985109087079763,1.7823513392359018
13295,cpp,argument,parameter,keyword,close_entity,0.6606328636027612,0.6606328636027612,0.0,0.8000000000000002,0.8000000000000002,0.0,0.6574553203342106,0.6351372467172015,0.022318073617009104,0.7937500000000002,0.7937500000000002,0.0,0.9832136034965515,0.9794528484344482,0.0037607550621032715,0.9896182417869568,0.01985977217555046,0.9697584696114063,0.9856212525628507,-0.4659172184765339,1.4515384710393846
13505,cpp,function,method,variable,close_entity,0.7016879391277372,0.7016879391277372,0.0,0.8571428571428571,0.8571428571428571,0.0,0.7655231117079133,0.7546255269383461,0.010897584769567259,0.9054545454545455,0.9054545454545455,0.0,0.9788384437561035,0.97947096824646,-0.0006325244903564453,0.0032966481521725655,0.0007646465091966093,0.002532001642975956,-0.9506474984809756,-0.9566715574474074,0.006024058966431767
14324,cpp,test,check,config,infrastructure,0.8282477531331043,0.8282477531331043,0.0,0.9375,0.9375,0.0,0.8876391846069639,0.8819118377300987,0.005727346876865158,0.9402573529411764,0.9402573529411764,0.0,0.9862157702445984,0.9816999435424805,0.00451582670211792,0.905264675617218,0.056871213018894196,0.8483934625983238,0.9009833298623562,-0.5559553727507591,1.4569387026131153
14381,cpp,function,method,variable,close_entity,0.7910665071754353,0.7910665071754353,0.0,0.9166666666666666,0.9166666666666666,0.0,0.8213454399212599,0.8125564897206509,0.008788950200608991,0.920940170940171,0.920940170940171,0.0,0.9932032823562622,0.9872367978096008,0.005966484546661377,0.5440629124641418,0.0018895261455327272,0.5421733863186091,0.324161171913147,-0.8997185833286494,1.2238797552417964
15505,cpp,function,method,variable,close_entity,0.7611606003349888,0.7611606003349888,0.0,0.9090909090909091,0.9090909090909091,0.0,0.8306467150775076,0.8222383384782487,0.008408376599258971,0.920940170940171,0.920940170940171,0.0,0.9927725791931152,0.9864770770072937,0.006295502185821533,0.9384586811065674,0.027690477669239044,0.9107682034373283,0.9323116983287036,-0.055707380175590515,0.9880190785042942
15505,cpp,warning,alert,error,diagnostic,0.7611606003349888,0.7611606003349888,0.0,0.9090909090909091,0.9090909090909091,0.0,0.8478733158609701,0.8451230399500221,0.002750275910948008,0.920940170940171,0.920940170940171,0.0,0.9919251203536987,0.9894006252288818,0.0025244951248168945,0.9573258757591248,0.8899524211883545,0.06737345457077026,0.955460794037208,0.8874843111261725,0.06797648291103542
15695,cpp,error,exception,warning,diagnostic,0.7071067811865478,0.7071067811865478,0.0,0.875,0.875,0.0,0.8370416647514313,0.8218474620456806,0.01519420270575067,0.864795918367347,0.864795918367347,0.0,0.9856685400009155,0.9772953987121582,0.008373141288757324,0.9926750063896179,0.6778159737586975,0.3148590326309204,0.9909518760396168,0.6636200575158,0.32733181852381676
15777,cpp,functions,methods,variables,close_entity,0.8153551038173119,0.8153551038173119,0.0,0.9,0.9,0.0,0.8213454399212599,0.8125564897206509,0.008788950200608991,0.9363888888888889,0.9363888888888889,0.0,0.9946627616882324,0.986463189125061,0.008199572563171387,0.956247866153717,0.03529539331793785,0.9209524728357792,0.9459624132141471,-0.3060288764536381,1.2519912896677852
15930,cpp,functions,methods,variables,close_entity,0.8931539818068699,0.8931539818068699,0.0,0.9090909090909091,0.9090909090909091,0.0,0.8889024822095444,0.8818708134345542,0.007031668774990174,0.9086363636363638,0.9086363636363638,0.0,0.995288074016571,0.9874203205108643,0.007867753505706787,0.9524886012077332,0.032779354602098465,0.9197092466056347,0.9463855233043432,-0.14927565678954124,1.0956611800938845
16727,cpp,class,type,module,close_entity,0.8656030552541704,0.8656030552541704,0.0,0.9285714285714286,0.9285714285714286,0.0,0.9050280843535999,0.9024476215869377,0.0025804627666622393,0.9402573529411764,0.9402573529411764,0.0,0.9900631904602051,0.9935691356658936,-0.0035059452056884766,0.895808219909668,0.03473549336194992,0.861072726547718,0.8172021433711052,-0.8934919908642769,1.710694134235382
16815,cpp,error,exception,warning,diagnostic,0.7348889200874659,0.7348889200874659,0.0,0.875,0.875,0.0,0.8765603560090198,0.8653271611099691,0.011233194899050725,0.9139118457300276,0.9139118457300276,0.0,0.9906630516052246,0.9928745031356812,-0.002211451530456543,0.7251588106155396,0.58888179063797,0.13627701997756958,0.7005948852747679,0.5349190533161163,0.16567583195865154
18742,cpp,error,exception,warning,diagnostic,0.8371170098777919,0.8371170098777919,0.0,0.9230769230769231,0.9230769230769231,0.0,0.8963104331716093,0.8869898420990678,0.009320591072541462,0.9363888888888889,0.9363888888888889,0.0,0.9946612119674683,0.9952050447463989,-0.0005438327789306641,0.9878849387168884,0.9628897905349731,0.024995148181915283,0.9853731349576265,0.9612231936771423,0.0241499412804842
18767,cpp,functions,methods,variables,close_entity,0.8801117367933934,0.8801117367933934,0.0,0.9,0.9,0.0,0.8308616550724307,0.8207383488393815,0.010123306233049245,0.8993827160493828,0.8993827160493828,0.0,0.9898004531860352,0.9870933294296265,0.0027071237564086914,0.9765857458114624,0.10111828148365021,0.8754674643278122,0.9740445660427213,-0.5561086386442184,1.5301532046869397
19063,cpp,error,exception,warning,diagnostic,0.7071067811865478,0.7071067811865478,0.0,0.9,0.9,0.0,0.8059642828031646,0.7875283867580579,0.018435896045106648,0.8950617283950617,0.8950617283950617,0.0,0.9833852648735046,0.9792775511741638,0.00410771369934082,0.9648687839508057,0.9128760695457458,0.051992714405059814,0.9437407795339823,0.9084947993978858,0.03524598013609648
20204,cpp,method,function,attribute,close_entity,0.6434588841607617,0.6434588841607617,0.0,0.75,0.75,0.0,0.6750830991283864,0.6701309687514048,0.004952130376981612,0.8412698412698414,0.8412698412698414,0.0,0.9826110601425171,0.9710688591003418,0.011542201042175293,0.31952425837516785,0.005012692417949438,0.3145115659572184,-0.2899617850780487,-0.9457557187415659,0.6557939336635172
20290,cpp,functions,methods,variables,close_entity,0.5946035575013611,0.5946035575013611,0.0,0.8571428571428571,0.8571428571428571,0.0,0.7860930283912356,0.7759375421320381,0.010155486259197488,0.864795918367347,0.864795918367347,0.0,0.9858385324478149,0.9767996668815613,0.009038865566253662,0.9588213562965393,0.0009448803612031043,0.9578764759353362,0.950256273150444,-0.9603666387847625,1.9106229119352065
20349,cpp,test,check,config,infrastructure,0.4111336169005196,0.4111336169005196,0.0,0.8571428571428571,0.8571428571428571,0.0,0.8139593522978263,0.8050916637343073,0.00886768856351905,0.8412698412698414,0.8412698412698414,0.0,0.9677619338035583,0.9685813188552856,-0.0008193850517272949,0.9778562188148499,0.02658984251320362,0.9512663763016462,0.9758374476805329,-0.8714661281555891,1.847303575836122
20812,cpp,parameter,argument,constant,close_entity,0.537284965911771,0.537284965911771,0.0,0.8333333333333334,0.8333333333333334,0.0,0.7160877530042662,0.6943828056076957,0.021704947396570473,0.8066666666666668,0.8066666666666668,0.0,0.9826551675796509,0.9635735750198364,0.019081592559814453,0.6879954934120178,0.042174819856882095,0.6458206735551357,0.4165167212486267,-0.8838769160211086,1.3003936372697353
